amc,Sigla,1991,2000,2010,Amazon
5063,RN,2654,2596,2601,0
5064,RN,5531,5908,5868,0
5065,RN,14684,17319,17692,0
5066,RN,8531,8238,8818,0
5067,RN,5071,5629,6227,0
5068,RN,5049,6395,6989,0
5069,RN,1968,2651,2668,0
5070,RN,10786,12058,13983,0
5071,RN,6130,6808,7564,0
5072,RN,8687,9399,10381,0
5073,RN,4459,4530,4612,0
5074,RN,2967,3218,3633,0
5075,RN,11336,12102,13146,0
5076,RN,43450,54883,69467,0
5077,RN,25985,25700,28954,0
5078,RN,8813,8373,8265,0
5079,RN,12299,12020,12758,0
5080,RN,13518,17218,20500,0
5081,RN,3413,3718,4188,0
5082,RN,9624,11948,11413,0
5083,RN,15871,18874,20685,0
5084,RN,2761,2541,2261,0
5085,RN,192267,213841,259815,0
5086,RN,606887,712317,803739,0
5087,RN,13934,19040,23784,0
5088,RN,30053,33834,35490,0
5089,RN,4576,4461,4295,0
5090,RN,4545,4667,4699,0
5091,RN,3510,3633,3952,0
5092,RN,4008,4092,3859,0
5093,RN,3980,4325,4845,0
5094,RN,17575,19319,20354,0
5095,RN,6523,8329,11100,0
5096,RN,2449,2691,2895,0
5097,RN,11741,11171,11964,0
5098,RN,14559,17600,20605,0
5099,RN,20827,24758,27745,0
5100,RN,3489,4017,3521,0
5101,RN,2710,2847,2590,0
5102,RN,11447,8006,7171,0
5103,RN,12756,13518,14114,0
5104,RN,11055,11401,13432,0
5105,RN,2161,3002,3453,0
